,Title,"Q:Which day, month and year did the crime happen?",Q:what time of the day did the crime happen?,"Q:Did the crime happen in the morning, afternoon,  evening or night?","Q:Did the crime happend on a weekday, weekend or holidays?",Q:What type of crime?,Q:What is the type of the crime?,Q:Is the crime violent or non-violent?,Q:Use 5 key words to describe this crime.,"Q:Map the crime to the crime type: theft, homicide, sex abuse, robbery, burglary",Q:In what location did the crime happend?,Q:Give me the accurate location of the crime.,Q:Did the crime happen in a public or private place?,Q:Did the crime happen in a residential or commercial area?,Q:Did the crime happen indoors or outdoors?
0,Day-care center owner gets 4 years for shooting her husband,July,morning,afternoon,Friday,aggravated assault,aggravated assault,violent,Shanteari Weems was sentenced,sex abuse,Mandarin Oriental Hotel,"Owings Mills, Md.",private,day care,in a luxury hotel
1,New video shows Rand Paul staffer getting stabbed repeatedly,March 25,afternoon,afternoon,on a sunny afternoon,assault with intent to kill,assault with intent to kill,violence,A security camera captured the staffer for Sen.,homicide,D.C.'s H Street NE,D.C.'s H Street NE,public,D.C.'s H Street NE,outdoors
2,One critically wounded after U.S. Marshals task force opens fire,Tuesday,afternoon,afternoon,Tuesday,attempted murder,attempted murder,violent,"The wanted man was shot, authorities said. Authorities",robbery,Potomac Yard Shopping Center,Potomac Yard Shopping Center in Alexandria,public,commercial,outdoor
3,"While you were sleeping, the acting D.C. police chief could not",9 August 2023,night,night,weekend,armed carjackings and homicide,armed carjackings and homicide,violent,Acting D.C. police chief Pamel,homicide,D.C.,D.C.,private,residential,outdoors
4,Water utility files suit over chemicals,Friday,Friday,Friday,Friday,pollution,pollution,non-violent,Maryland's largest water utility filed a lawsuit,Maryland's largest water utility filed a lawsuit,Maryland,Maryland,public,residential,outdoors
5,Local Digest,"Wednesday, as the District's 2023 ",shortly after 4:30 p.m,afternoon,Wednesday,homicide,homicide,violent,"Two men were shot, one fatally, in",homicide,Marvin Gaye Park,Marvin Gaye Park,park,park,outdoors
6,Coalition seeks overhaul to D.C.'s crisis response,4 May 2023,awoke to officers knocking at her door,night,Wednesday,mental health crises,choked,nonviolent,Charnal Chaney told those gathered Wednesday,sex abuse,United Medical Center,D.C.,public,residential,indoors
7,Ex-FBI supervisor arrested in Jan. 6 riot,"Jan. 6, 2021",2:23p.m,afternoon,Monday,riot,riot,non-violent,"Jared L. Wise, 50,",robbery,Capitol,Capitol,public,Capitol,outside
8,Bowser's plan for tougher approach to crime meets resistance,28 June 2023,late Tuesday night,night,Tuesday,violent,gun crimes,violent,The D.C. mayor's legislative proposal,homicide,D.C.,D.C.,public,residential,outdoors
9,52-month term for man who hit police on Jan. 6,"Jan. 6, 2021",Jan. 6,day,"Jan. 6, 2021",assault on law enforcement,assault on law enforcement,violent,"Geoffrey Sills, 31, of Virginia",assault on law enforcement,the Capitol,"Jan. 6, 2021, riot at the",public,at the Capitol,inside
10,"Hospital, U-Md. medical system discriminated against trans man, judge says",13 January 2023,one night before it was scheduled,night,weekday,discrimination,Discrimination,non-violent,The University of Maryland St. Joseph Medical Center in,sex abuse,Towson,Towson,private,Baltimore,indoors
11,Local Digest,Sunday,Sunday,Sunday,Sunday,shooting,fatal shooting,non-violent,car crashes into hospital in Pr. George's,robbery,Adventist HealthCare Fort Washington Medical Center,Fort Washington Medical Center,hospital,residential,indoors
12,D.C. will get $15M as Juul settles,13 April 2023,13 April 2023,evening,Wednesday,Tobacco,deceptive,non-violent,E-cigarette manufacturer Juul Labs will pay,E-cigarette manufacturer Juul Labs will pay,D.C.,D.C.,public,D.C.,indoors
13,Frederick sheriff steps aside after plea of not guilty,13 April 2023,afternoon,afternoon,weekday,illegally secure machine guns,conspiracy and making false statements to acquire the machine guns,non-violent,Frederick County Sheriff Chuck Jenkins will take a leave,robbery,a local gun range,Frederick County,a local gun range,a local gun range,outdoors
14,Two former Proud Boys leaders sentenced to 15-plus years,"Jan. 6, 2021",Thursday,"Jan. 6, 2021","Jan. 6, 2021",terrorism,seditious conspiracy,violent,A former leader of the far-right Prou,seditious conspiracy,the U.S. Capitol,"Jan. 6, 2021, riot at the",public,Capitol,outdoor
15,Lawyer: Driver in fatal crash had her license despite DUIs,7 June 2023,1:34 a.m,morning,weekday,DUIs,DUIs,violent,A U.S. Park Police officer pulled over,homicide,D.C.,Rock Creek Parkway,public,Rock Creek Parkway,outdoors
16,City sues more than 25 companies it says polluted water with toxic chemicals,20 July 2023,20 July 2023,afternoon,Tuesday,polluted water with toxic chemicals,polluted water with toxic chemicals,non-violent,D.C.'s attorney general has filed,D.C.'s attorney general has filed,D.C.,D.C.,public,D.C.,outdoors
17,11-year-old is again arrested in robbery after having earlier charges dropped,"June 16, 11 days after documents show the youth'",5 p.m,evening,weekday,robbery,robbery,violent,D.C. prosecutors dismissed criminal charges against,robbery,Northwest Washington,Northwest Washington,public,commercial,outdoors
18,Shooter who killed a man walking his kids to school gets 13-year sentence,March 4,8:30 a.m,morning,school day,murder,voluntary manslaughter,violent,A District man who fatally shot an acquaintance who,homicide,18th Street NE,2300 block of 18th Street NE,public,residential,outdoors
19,Local Digest,26 January 2023,About 11:45 a.m.,afternoon,Tuesday,embezzlement,embezzlement,non-violent,Former president of the Arlington Education Association (AEA,embezzlement,Arlington,Fairfax County,private,commercial,outdoor
20,Unimaginable violence is reality for some in D.C.,Friday,night,night,Monday,homicide,homicide,violent,A 12-year-old girl was shot and wounded,homicide,Southeast Washington,Lebaum Street SE,neighborhood,neighborhood,outdoors
21,Local Digest,Saturday,afternoon,afternoon,Saturday,murder,murder,violent,D.C. police are investigating after a,homicide,Brightwood,Olney,private,residential,indoors
22,MCPS moved official twice,July,late-night texts,late-night,Friday,misconduct,sexual harassment,non-violent,"Khalid Walker, the investigator who closed an inquiry",sex abuse,Farquhar Middle School,Farquhar Middle School,public,Montgomery County,indoors
23,"Hours after protective order, a D.C. woman dies",Oct. 1,pre-dawn hours,morning,weekday,homicide,homicide,violent,"Patricia Johnson, it seems, did everything she could",homicide,D.C.,D.C.,private,residential,inside
24,"Montgomery parents fight to opt out of LGBTQ books, citing religious beliefs",10 August 2023,Wednesday,morning,weekday,a),infringing on their religious rights,non-violent,Montgomery County's mandate that students read books with,sex abuse,Greenbelt,Greenbelt,public,residential,indoors
25,Faux agent sentenced to nearly six years,10 August 2023,Monday,morning,Monday,conspiracy,conspiracy,non-violent,"Ali presented himself as a federal agent, telling",robbery,D.C.,D.C.,private,residential,indoors
26,Marshals Service refuses to reveal why task force shot man in Alexandria,10 August 2023,afternoon,afternoon,Tuesday,attempted murder,attempted murder,violent,The father of a Maryland man who was shot,homicide,Potomac Yards Shopping Center,The U.S. Marshals Capital Area Regional,parking lot,parking lot,outdoor
27,"Officer tipped off militant, U.S. says","Jan. 4, 2021",morning,evening,weekday,seditious conspiracy,seditious conspiracy,violent,Enrique Tarrio was arrested on Jan.,robbery,D.C.,D.C.,public,downtown,outside
